ダウンロードした時刻：2025/10/14 11:41:41

,札幌,札幌,札幌
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2025/9/12,21.8,8,1
2025/9/13,20.3,8,1
2025/9/14,20.9,8,1
2025/9/15,21.8,8,1
2025/9/16,22.9,8,1
2025/9/17,21.4,8,1
2025/9/18,19.1,8,1
2025/9/19,17.6,8,1
2025/9/20,16.0,8,1
2025/9/21,15.7,8,1
2025/9/22,16.3,8,1
2025/9/23,17.8,8,1
2025/9/24,18.6,8,1
2025/9/25,18.9,8,1
2025/9/26,19.6,8,1
2025/9/27,19.5,8,1
2025/9/28,20.3,8,1
2025/9/29,19.6,8,1
2025/9/30,18.6,8,1
2025/10/1,18.9,8,1
2025/10/2,18.6,8,1
2025/10/3,20.3,8,1
2025/10/4,19.8,8,1
2025/10/5,21.0,8,1
2025/10/6,15.8,8,1
2025/10/7,13.5,8,1
2025/10/8,17.2,8,1
2025/10/9,11.6,8,1
2025/10/10,11.4,8,1
2025/10/11,12.3,8,1
2025/10/12,12.9,8,1
